track_id,title,song_id,release,artist_id,artist_name,year,duration,artist_hotttnesss,artist_familiarity,latitude,longitude,name,city,factor_artist_name,factor_title
TRWICRA128F42368DB,The Conversation (Cd),SOSURTI12A81C22FB8,Even If It Kills Me,ARACDPV1187FB58DF4,Motion City Soundtrack,2007,170.44853,0.641018309394,0.823052186756,NA,NA,NA,NA,Motion City Soundtrack,The Conversation (Cd)
TRXJANY128F42246FC,Lonely Island,SODESQP12A6D4F98EF,The Duke Of Earl,ARYBUAO1187FB3F4EB,Gene Chandler,2004,106.55302,0.393762698987,0.570016702885,41.88415,-87.63241,Gene Chandler,"Chicago, IL",Gene Chandler,Lonely Island
TRIKPCA128F424A553,Here's That Rainy Day,SOQUYQD12A8C131619,Imprompture,AR4111G1187B9B58AB,Paul Horn,1998,527.59465,0.430622621858,0.503993974931,40.71455,-74.00712,Paul Horn,"New York, NY",Paul Horn,Here's That Rainy Day
TRYEATD128F92F87C9,Rego Park Blues,SOEZGRC12AB017F1AC,Still River,ARQDZP31187B98D623,Ronnie Earl & the Broadcasters,1995,695.11791,0.362279247228,0.477309939431,NA,NA,NA,NA,Ronnie Earl & the Broadcasters,Rego Park Blues
TRBYYXH128F4264585,Games,SOPIOCP12A8C13A322,Afro-Harping,AR75GYU1187B9AE47A,Dorothy Ashby,1968,237.322,0.410752048849,0.530346783927,42.33168,-83.04792,Dorothy Ashby,"Detroit, MI",Dorothy Ashby,Games
TRKFFKR128F9303AE3,More Pipes,SOHQSPY12AB0181325,Six Yanks,ARCENE01187B9AF929,Barleyjuice,2006,192.93995,0.3762635263,0.541295002234,40.99471,-77.60454,Barleyjuice,Pennsylvania,Barleyjuice,More Pipes
TRSSNNI128F42661D8,out OF my MIND,SOIHOMM12A8C139A02,Eradicate Apathy,AR88PFB1187B9B834D,Vertigo Angels,2003,239.5424,0.181460068376,0.274432947905,NA,NA,NA,NA,Vertigo Angels,out OF my MIND
TRXSSXI128F428FAD4,Endlich Ein Grund Zur Panik,SODTXQY12A6D4F748E,Soundso + Track-by-Track Kommentare,ARKQW4V1187B9AD20B,Wir Sind Helden,2007,222.85016,0.47435474962,0.69792953661,NA,NA,NA,NA,Wir Sind Helden,Endlich Ein Grund Zur Panik
TRDKANB128F4261BDE,I Am A Rock,SOCZZEQ12A8C1318A9,Live From New York City_ 1967,ARIWB161187B9AA1D5,Simon & Garfunkel,1966,177.97179,0.510324986101,0.796493401551,NA,NA,NA,NA,Simon & Garfunkel,I Am A Rock
TRJQSXM128F932A05B,A perfect world,SOFJTIS12AB0184236,Save Me From My Curse,ARP3U2W1187FB4400E,Rabia Sorda,2006,259.83955,0.4196400756,0.593109601395,NA,NA,NA,NA,Rabia Sorda,A perfect world
TRYEOWT128F934A8E1,Suicide,SOVKSXG12AB018A6C1,As Approved by the Committee,ARVM9DU1187FB4E33C,The Telescopes,1989,476.42077,0.393289942364,0.58906250097,NA,NA,NA,NA,The Telescopes,Suicide
TRLDWAR128F92EAFC3,Erase,SOOBWOG12B34F1C7AD,Building 429,ARYK2ZC1187B99E0D9,Building 429,2008,261.642,0.495351792662,0.72139403398,NA,NA,NA,NA,Building 429,Erase
TRXLXET128F425E4FD,Gravemakers & Gunslingers,SOOSZAL12D02191FA1,No World For Tomorrow,ARIWKUS1187FB55354,Coheed and Cambria,2007,260.64934,0.613146815413,0.795246077216,NA,NA,NA,NA,Coheed and Cambria,Gravemakers & Gunslingers
TRXTNVI128F92D7FBD,Enemies,SOCYPBI12A8C143CDE,Enemies,ARRUFMQ11E2835E080,In Case Of Fire,2009,176.61342,0.360239437613,0.551428935392,NA,NA,NA,NA,In Case Of Fire,Enemies
TRPGGXE128F9322D0C,Draw The Line,SOJVVWZ12AB018312C,Evacuate The Dancefloor,ARPD2KK1187B9B8B98,Cascada,2009,237.45261,0.624347709064,0.830874307385,NA,NA,NA,NA,Cascada,Draw The Line
TRBUASZ128F4213085,June 26th_ 1999 - Purpose,SOBXXMX12A6D4FB56F,The Taste Of Rain... Why Kneel,AROGN2E1187B98D292,Deep Puddle Dynamics,1999,206.39302,0.357985697733,0.507126310044,NA,NA,NA,NA,Deep Puddle Dynamics,June 26th_ 1999 - Purpose
TRWKTVW12903CE5ACF,Indian Deli,SOGYBYQ12AB0188586,Beat Konducta Vol. 3 & 4: In India,AR17D2T1187FB4DBC2,Madlib,2007,107.78077,0.533973158094,0.764026335274,34.20034,-119.18044,Madlib,"Oxnard, CA",Madlib,Indian Deli
TRUWFXF128E0795D22,Miss Gorgeous,SOTEIQB12A6702048D,Music Monks,ARDNZL61187B98F42D,Seeed's Pharaoh Riddim Feat. General Degree,2003,195.97016,0.480061156343,0.308673846767,50.7323,7.10169,Seeed feat. Elephant Man,Bonn,Seeed's Pharaoh Riddim Feat. General Degree,Miss Gorgeous
TRUMIFU128F14B0E84,Iron Tusk [Live],SOFJTZZ12A6D4FB13E,Colony Of Birchmen,ARMQHX71187B9890D3,Mastodon,2007,168.93342,0.574274730517,0.780461748777,NA,NA,NA,NA,Mastodon,Iron Tusk [Live]
TRYKVFW128F4243264,Lahainaluna,SOUZVTG12A8C1308FB,Ke'alaokamaile,ARR9RE51187B98E899,Keali'i Reichel,2003,245.73342,0.364058620438,0.56497169409,19.59009,-155.43414,Keali I Reichel,Hawaii,Keali'i Reichel,Lahainaluna
TRUNSOU12903CC52BD,The Ingenue (LP Version),SOJESNI12AB0186408,Representing The Mambo,AR6W5MS1187FB3BF47,Little Feat,1989,263.96689,0.479187492236,0.674918816108,34.05349,-118.24532,Little Feat,"Los Angeles, CA",Little Feat,The Ingenue (LP Version)
TRWPHSQ128F42AA08E,Chemistry,SORTJNE12A8C13DBE9,I'm In The Mood For Dancing,ARE3YH31187B994AAA,The Nolans,1982,203.49342,0.434029362315,0.529362423299,NA,NA,NA,NA,The Nolans,Chemistry
TRADKYY128F14900A6,Don't Let Me Be Misunderstood,SOKYDWX12A6D4FA455,Acertei No Milenio,ARLFAHS11E2835E9FE,Angela Ro Ro,2006,335.85587,0.322878937799,0.378544565182,NA,NA,NA,NA,Angela Ro Ro,Don't Let Me Be Misunderstood
TRBNFTT128F92FB599,The Unquiet Grave (Child No. 78),SOTSNHW12AB0182A9D,5,AR60ODO1187FB4D9AB,Joan Baez,1964,261.40689,0.455289243597,0.732261286176,40.5725,-74.154,Joan Baez,"Staten Island, NY",Joan Baez,The Unquiet Grave (Child No. 78)
